group,n_patients,fraction_of_all,retrieval_top1_hit_rate,classifier_top1_hit_rate,mean_retrieval_top3_true_count,mean_classifier_top3_true_count,retrieval_only_correct_top1_rate,classifier_only_correct_top1_rate,both_correct_top1_rate,both_wrong_top1_rate
all,599,1.0,0.9065108514190318,0.9582637729549248,2.5125208681135227,2.634390651085142,0.00667779632721202,0.05843071786310518,0.8998330550918197,0.035058430717863104
agreement_cases,349,0.5826377295492488,0.9455587392550143,0.9455587392550143,2.4555873925501435,2.6017191977077365,0.0,0.0,0.9455587392550143,0.054441260744985676
disagreement_cases,250,0.41736227045075125,0.852,0.976,2.592,2.68,0.016,0.14,0.836,0.008
