antibiotic,method,auroc,auprc,accuracy_at_0.5,precision_at_0.5,recall_at_0.5,f1_at_0.5,prevalence,n
CLINDAMYCIN,retrieval_fraction,0.601202690378477,0.644067215558199,0.5859766277128547,0.6182266009852216,0.7296511627906976,0.6693333333333333,0.5742904841402338,599
CLINDAMYCIN,retrieval_weighted_score,0.6227770177838576,0.6787089775553511,0.5959933222036727,0.6416666666666667,0.6715116279069767,0.65625,0.5742904841402338,599
CLINDAMYCIN,classifier_proba,0.7327405380756954,0.7707559753522942,0.6861435726210351,0.657258064516129,0.9476744186046512,0.7761904761904762,0.5742904841402338,599
CLINDAMYCIN,combined_w_classifier_0.00,0.601202690378477,0.644067215558199,0.5859766277128547,0.6182266009852216,0.7296511627906976,0.6693333333333333,0.5742904841402338,599
CLINDAMYCIN,combined_w_classifier_0.25,0.6740538075695395,0.7276956985468266,0.6193656093489148,0.6620111731843575,0.688953488372093,0.6752136752136753,0.5742904841402338,599
CLINDAMYCIN,combined_w_classifier_0.50,0.7128248974008208,0.7682801029347163,0.664440734557596,0.7072463768115942,0.7093023255813954,0.7082728592162555,0.5742904841402338,599
CLINDAMYCIN,combined_w_classifier_0.75,0.7306771545827633,0.7846470879970651,0.674457429048414,0.717201166180758,0.7151162790697675,0.7161572052401747,0.5742904841402338,599
CLINDAMYCIN,combined_w_classifier_1.00,0.7327405380756954,0.7707559753522942,0.67779632721202,0.7253731343283583,0.7063953488372093,0.7157584683357879,0.5742904841402338,599
ERYTHROMYCIN,retrieval_fraction,0.6060669456066946,0.48367918815734295,0.6043405676126878,0.504950495049505,0.42677824267782427,0.46258503401360546,0.3989983305509182,599
ERYTHROMYCIN,retrieval_weighted_score,0.6285681078568108,0.5223049706822759,0.6193656093489148,0.5333333333333333,0.3682008368200837,0.43564356435643564,0.3989983305509182,599
ERYTHROMYCIN,classifier_proba,0.7749593212459321,0.719648973037598,0.6327212020033389,0.5233415233415234,0.891213389121339,0.6594427244582043,0.3989983305509182,599
ERYTHROMYCIN,combined_w_classifier_0.00,0.6060669456066946,0.48367918815734295,0.6043405676126878,0.504950495049505,0.42677824267782427,0.46258503401360546,0.3989983305509182,599
ERYTHROMYCIN,combined_w_classifier_0.25,0.7041085541608554,0.6167152319672675,0.672787979966611,0.6592592592592592,0.3723849372384937,0.47593582887700536,0.3989983305509182,599
ERYTHROMYCIN,combined_w_classifier_0.50,0.7471582984658299,0.6857347797037681,0.7178631051752922,0.75,0.4393305439330544,0.554089709762533,0.3989983305509182,599
ERYTHROMYCIN,combined_w_classifier_0.75,0.7657194328219433,0.7065360473752367,0.7245409015025042,0.7720588235294118,0.4393305439330544,0.56,0.3989983305509182,599
ERYTHROMYCIN,combined_w_classifier_1.00,0.7749593212459321,0.719648973037598,0.7161936560934892,0.7482014388489209,0.4351464435146444,0.5502645502645502,0.3989983305509182,599
GENTAMICIN,retrieval_fraction,0.6987732848705134,0.9694415961290124,0.9499165275459098,0.9498327759197325,1.0,0.9742710120068611,0.9482470784641068,599
GENTAMICIN,retrieval_weighted_score,0.7310597455701954,0.9744094809517084,0.9499165275459098,0.9498327759197325,1.0,0.9742710120068611,0.9482470784641068,599
