method,top1_hit_rate,top3_hit_rate,top5_hit_rate,mean_ap_at_3,mean_ap_at_5,mean_ndcg_at_3,mean_ndcg_at_5,n_patients
retrieval,0.9065108514190318,0.993322203672788,0.998330550918197,0.8150157670191058,0.7827819514004823,0.8613923632793838,0.8543724580668005,599
classifier,0.9582637729549248,0.988313856427379,0.996661101836394,0.8691337414208866,0.8294555741049897,0.9025318918327484,0.886595325943868,599
combined_w_classifier_0.00,0.9332220367278798,0.9833055091819699,0.998330550918197,0.813207197180486,0.7801034130959006,0.8589643306210412,0.8535450255244729,599
combined_w_classifier_0.25,0.9465776293823038,0.989983305509182,0.994991652754591,0.8448339825635318,0.8211751066592469,0.8840151561423609,0.8816109580601856,599
combined_w_classifier_0.50,0.9482470784641068,0.989983305509182,0.996661101836394,0.8572621035058431,0.831101372658134,0.8930793609708949,0.8878914564223541,599
combined_w_classifier_0.75,0.9532554257095158,0.989983305509182,0.996661101836394,0.8623631979224633,0.8302007976256723,0.897267106574174,0.8871822321075803,599
combined_w_classifier_1.00,0.9582637729549248,0.988313856427379,0.996661101836394,0.8691337414208866,0.8294555741049897,0.9025318918327484,0.886595325943868,599
